Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CD9,NO2,10/04/2017 00:00,33.70000,ug m-3,R
CD9,NO2,11/04/2017 00:00,62.20000,ug m-3,R
CD9,NO2,12/04/2017 00:00,59.40000,ug m-3,R
CD9,NO2,13/04/2017 00:00,47.40000,ug m-3,R
CD9,NO2,14/04/2017 00:00,69.10000,ug m-3,R
CD9,NO2,15/04/2017 00:00,29.00000,ug m-3,R
CD9,NO2,16/04/2017 00:00,39.70000,ug m-3,R
CD9,NO2,17/04/2017 00:00,53.30000,ug m-3,R
CD9,NO2,18/04/2017 00:00,68.70000,ug m-3,R
CD9,NO2,19/04/2017 00:00,112.40000,ug m-3,R
CD9,NO2,20/04/2017 00:00,97.10000,ug m-3,R
CD9,NO2,21/04/2017 00:00,59.70000,ug m-3,R
CD9,NO2,22/04/2017 00:00,63.90000,ug m-3,R
CD9,NO2,23/04/2017 00:00,70.30000,ug m-3,R
CD9,NO2,24/04/2017 00:00,66.60000,ug m-3,R
CD9,NO2,25/04/2017 00:00,41.90000,ug m-3,R
CD9,NO2,26/04/2017 00:00,60.60000,ug m-3,R
CD9,NO2,27/04/2017 00:00,79.20000,ug m-3,R
CD9,NO2,28/04/2017 00:00,68.60000,ug m-3,R
CD9,NO2,29/04/2017 00:00,104.80000,ug m-3,R
CD9,NO2,30/04/2017 00:00,66.10000,ug m-3,R
CD9,NO2,01/05/2017 00:00,69.10000,ug m-3,R
CD9,NO2,02/05/2017 00:00,78.10000,ug m-3,R
CD9,NO2,03/05/2017 00:00,71.20000,ug m-3,R
CD9,NO2,04/05/2017 00:00,86.20000,ug m-3,R
CD9,NO2,05/05/2017 00:00,86.20000,ug m-3,R
CD9,NO2,06/05/2017 00:00,65.00000,ug m-3,R
CD9,NO2,07/05/2017 00:00,44.60000,ug m-3,R
CD9,NO2,08/05/2017 00:00,59.20000,ug m-3,R
CD9,NO2,09/05/2017 00:00,84.40000,ug m-3,R
CD9,NO2,10/05/2017 00:00,102.90000,ug m-3,R
CD9,NO2,11/05/2017 00:00,117.40000,ug m-3,R
CD9,NO2,12/05/2017 00:00,107.10000,ug m-3,R
CD9,NO2,13/05/2017 00:00,106.00000,ug m-3,R
CD9,NO2,14/05/2017 00:00,71.80000,ug m-3,R
CD9,NO2,15/05/2017 00:00,102.50000,ug m-3,R
CD9,NO2,16/05/2017 00:00,91.40000,ug m-3,R
CD9,NO2,17/05/2017 00:00,81.70000,ug m-3,R
CD9,NO2,18/05/2017 00:00,79.60000,ug m-3,R
CD9,NO2,19/05/2017 00:00,74.10000,ug m-3,R
CD9,NO2,20/05/2017 00:00,106.80000,ug m-3,R
CD9,NO2,21/05/2017 00:00,96.30000,ug m-3,R
CD9,NO2,22/05/2017 00:00,115.30000,ug m-3,R
CD9,NO2,23/05/2017 00:00,73.00000,ug m-3,R
CD9,NO2,24/05/2017 00:00,101.60000,ug m-3,R
CD9,NO2,25/05/2017 00:00,113.50000,ug m-3,R
CD9,NO2,26/05/2017 00:00,105.80000,ug m-3,R
CD9,NO2,27/05/2017 00:00,103.20000,ug m-3,R
CD9,NO2,28/05/2017 00:00,78.80000,ug m-3,R
CD9,NO2,29/05/2017 00:00,83.00000,ug m-3,R
CD9,NO2,30/05/2017 00:00,73.50000,ug m-3,R
CD9,NO2,31/05/2017 00:00,86.20000,ug m-3,R
CD9,NO2,01/06/2017 00:00,114.30000,ug m-3,R
CD9,NO2,02/06/2017 00:00,107.30000,ug m-3,R
CD9,NO2,03/06/2017 00:00,52.40000,ug m-3,R
CD9,NO2,04/06/2017 00:00,70.70000,ug m-3,R
CD9,NO2,05/06/2017 00:00,84.30000,ug m-3,R
CD9,NO2,06/06/2017 00:00,69.90000,ug m-3,R
CD9,NO2,07/06/2017 00:00,74.30000,ug m-3,R
CD9,NO2,08/06/2017 00:00,103.70000,ug m-3,R
CD9,NO2,09/06/2017 00:00,88.60000,ug m-3,R
CD9,NO2,10/06/2017 00:00,70.80000,ug m-3,R
CD9,NO2,11/06/2017 00:00,57.90000,ug m-3,R
CD9,NO2,12/06/2017 00:00,62.30000,ug m-3,R
CD9,NO2,13/06/2017 00:00,73.30000,ug m-3,R
CD9,NO2,14/06/2017 00:00,102.10000,ug m-3,R
CD9,NO2,15/06/2017 00:00,77.10000,ug m-3,R
CD9,NO2,16/06/2017 00:00,50.80000,ug m-3,R
CD9,NO2,17/06/2017 00:00,72.20000,ug m-3,R
CD9,NO2,18/06/2017 00:00,102.30000,ug m-3,R
CD9,NO2,19/06/2017 00:00,141.20000,ug m-3,R
CD9,NO2,20/06/2017 00:00,124.80000,ug m-3,R
CD9,NO2,21/06/2017 00:00,152.60001,ug m-3,R
CD9,NO2,22/06/2017 00:00,74.20000,ug m-3,R
CD9,NO2,23/06/2017 00:00,67.40000,ug m-3,R
CD9,NO2,24/06/2017 00:00,66.10000,ug m-3,R
CD9,NO2,25/06/2017 00:00,42.20000,ug m-3,R
CD9,NO2,26/06/2017 00:00,70.50000,ug m-3,R
CD9,NO2,27/06/2017 00:00,88.00000,ug m-3,R
CD9,NO2,28/06/2017 00:00,39.90000,ug m-3,R
